"id","course_name","core_subject","duration","price","payment_type","enquiry"
"1","Server Side Programm","Python","45 days","7000","one time","9007045632"
"2","Python Express","Python","60 days","3000","one time","6290121478"
"3","Big Dream in Data Sc","Data Science","90 days","7000","Lump sum","7894121478"
"4","Train your Computer","Machine Learning","90 days","8000","Lump sum","9842121478"
"5","Python Jet ","Python","30 days","1000","one time","6765121478"
"6","C++","C++","60 days","5000","one time","633421478"
"7","Java to placement","Java","30 days","8000","one time","7980121478"
"8","Quick Machine Learni","Machine Learning","45 days","5000","one time","6290121220"
"9","Python with Flask","Python","90 days","9000","Monthly","6290624578"
"10","Advance Java","Java","120 days","12000","Lumpsum","8013121478"
"11","Grab Tensor Flow and","Python","60 days","10000","one time","6290121478"
"12","Core Java","Java","60 days","4500","one time","9505121478"
"13","Training of Networki","Network","30 days","3000","one time","9163186478"
"15","Complete Database wi","SQL","60 days","6000","one time","8207045632"
